propert_title,propert_location,price,area,listing_type
denting paint garage for sale للبيع جراج للسمكرة والدهان,"Muscat, Al Maabilah","7,500 OMR",150,For Rent
85 m2 1 Bedroom Apartments for Rent in Al Batinah Barka,"Al Batinah, Barka",16 OMR,85,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",600 OMR,300,For Rent
160 m2 3 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",290 OMR,160,For Rent
400 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,400,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",23 OMR,110,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",430 OMR,300,For Rent
400 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",500 OMR,400,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,300,For Rent
200 m2 3 Bedrooms Apartments for Rent in Muscat Ansab,"Muscat, Ansab",310 OMR,200,For Rent
10 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,10,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",220 OMR,100,For Rent
محل للايجار او البيع,"Muscat, Azaiba",750 OMR,50,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",250 OMR,100,For Rent
RF66 - 2BHK FLAT FOR RENT IN RUWI MBD AREA,"Muscat, Ruwi",250 OMR,90,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",13 OMR,100,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",85 OMR,300,For Rent
460 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,460,For Rent
Industrial Land for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",550 OMR,,For Rent
مكتب فى قلب الخوير داخل مجمع الياسمين مقابل ماكدونلد وقريب فندق ريدسون بلو واسواق الامارات,"Muscat, Al Khuwair",165 OMR,8,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,100,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",180 OMR,90,For Rent
160 m2 1 Bedroom Apartments for Rent in Muscat Al Mouj,"Muscat, Al Mouj",60 OMR,160,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",220 OMR,120,For Rent
Villa for Rent in MQ,"Muscat, Madinat As Sultan Qaboos","1,000 OMR",1111,For Rent
150 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,150,For Rent
1 Bedroom Chalet for Rent in Dhofar Other,"Dhofar, Other",35 OMR,80,For Rent
4 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,4,For Rent
1 m2 3 Bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",1 OMR,1,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",13 OMR,100,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,300,For Rent
22222 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",170 OMR,22222,For Rent
مكاتب وشقق فخمة للايجار في قلب سوق السيب,"Muscat, Seeb",220 OMR,70,For Rent
450 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,450,For Rent
450 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,450,For Rent
400 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,400,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",50 OMR,1200,For Rent
Apartment for rent in Qurum,"Muscat, Qurm",450 OMR,1111,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",200 OMR,120,For Rent
534 m2 More than 6 bedrooms Townhouse for Rent in Al Wustaa Al Duqum,"Al Wustaa, Al Duqum","1,500 OMR",534,For Rent
22222 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",750 OMR,22222,For Rent
600 m2 5 Bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud",700 OMR,600,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",225 OMR,120,For Rent
650 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,650,For Rent
150 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,150,For Rent
"Apartment for rent in sohar ,Alhambar area near the Indian school second floor 140 rail","Al Batinah, Sohar",140 OMR,150,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100,For Rent
82 m2 Studio Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",45 OMR,82,For Rent
96 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",300 OMR,96,For Rent
Renovated 2BHK Flat Available for Rent in Al Khuwair,"Muscat, Al Khuwair",280 OMR,100,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",16 OMR,100,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,,For Rent
1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",35 OMR,300,For Rent
1000 m2 More than 6 bedrooms Townhouse for Rent in Muscat Ansab,"Muscat, Ansab",120 OMR,1000,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,1,For Rent
NEW 1 BHK FOR RENT IN AL ANSAB,"Muscat, Ansab",220 OMR,56,For Rent
78 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,78,For Rent
For rent luxury Flat 2 BR in Alqurum Opposite Alqurum park.,"Muscat, Qurm",450 OMR,120,For Rent
Office Space FOR RENT at Al-Qurum Near to Qurum Natural Park,"Muscat, Qurm",570 OMR,95,For Rent
For rent luxury Flat 1 BR in Alqurum Opposite Alqurum park.,"Muscat, Qurm",350 OMR,120,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",375 OMR,110,For Rent
BASEMENT 175 M2,"Muscat, Al Mawaleh","1,000 OMR",175,For Rent
60 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,60,For Rent
MQ Villa for Rent  5 Bedrooms + Maid Room  Access to Pool & Gym,"Muscat, Madinat As Sultan Qaboos",850 OMR,300,For Rent
20 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",85 OMR,20,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,300,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",50 OMR,300,For Rent
Semi Furnished Monthly in Muscat Ansab,"Muscat, Ansab",100 OMR,,For Rent
360 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",35 OMR,360,For Rent
500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,500,For Rent
#REF725   Modern Building in Muttrah consist of 2BHK for rent @ 210/- RO,"Muscat, Muttrah",210 OMR,100,For Rent
500 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,500,For Rent
مبنى ومحلات وشقق للايجار لوى الصناعية,"Al Batinah, Liwa",50 OMR,1150,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,300,For Rent
sifah apartments for rent,"Muscat, Al-Sifah",30 OMR,35,For Rent
Commercial Land for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail","1,000 OMR",,For Rent
مكاتب للايجار بموقع ممتاز 2 شهرين سماح   Office for rent near City center 2 month free,"Muscat, Al Mawaleh",450 OMR,115,For Rent
Luxurious One Bedroom Apartment Ghala,"Muscat, Ghala",230 OMR,70,For Rent
70 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,70,For Rent
2 Bedrooms Chalet for Rent in Muscat Ghubrah,"Muscat, Ghubrah",30 OMR,250,For Rent
50 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",160 OMR,50,For Rent
40 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,40,For Rent
Flat for rent in wadi alkabir near Indian School,"Muscat, Wadi Al Kabir",180 OMR,90,For Rent
50 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,50,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",130 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Dhahirah Ibri,"Al Dhahirah, Ibri",50 OMR,1000,For Rent
Office Space for Rent at Al Hail مكتب للإيجار في الحيل الشمالية,"Muscat, Al Maabilah",290 OMR,91,For Rent
AL mawaleh south room for rent,"Muscat, Al Mawaleh",105 OMR,,For Rent
100 m2 3 Bedrooms Townhouse for Rent in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",11 OMR,100,For Rent
200 m2 5 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",380 OMR,200,For Rent
room for rent wadi awami lulu al khoud,"Muscat, Al Khoud",115 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",12 OMR,100,For Rent
500 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,500,For Rent
280 m2 4 Bedrooms Villa for Rent in Muscat Bosher,"Muscat, Bosher",950 OMR,280,For Rent
Commercial Land for Rent in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",300 OMR,,For Rent
House to lent 4 rooms 5 toilets منزل بنزوى غاف الشيخ منطقة جامع الحق 4 غرف 5 دورات مياه,"Al Dakhiliya, Nizwa",350 OMR,270,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",195 OMR,120,For Rent
محلات للإيجار في صناعية كرشاء,"Al Dakhiliya, Nizwa",1 OMR,42,For Rent
3 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,250,For Rent
صالون رجالي للبيع أو للإيجار مع ملحقاته الجديده غير مستخدمه .  Men’s salon for sale or rent .,"Muscat, Al Maabilah","1,300 OMR",30,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",70 OMR,,For Rent
Studio Chalet for Rent in Muscat Bosher,"Muscat, Bosher",30 OMR,190,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,80,For Rent
Semi Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",120 OMR,,For Rent
مكتب مجهز للايجار,"Muscat, Qurm",660 OMR,110,For Rent
605 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,605,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",90 OMR,,For Rent
1000 m2 4 Bedrooms Villa for Rent in Muscat Ghala,"Muscat, Ghala","1,500 OMR",1000,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",180 OMR,100,For Rent
70 m2 2 Bedrooms Apartments for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",130 OMR,70,For Rent
480 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,480,For Rent
Semi Furnished room in Al khuwair,"Muscat, Al Khuwair",120 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",17 OMR,100,For Rent
مخازن للإيجار، واسعة ومهيأة ومعتمدة من الدفاع المدني,"Muscat, Misfah",900 OMR,400,For Rent
443 m2 More than 6 bedrooms Villa for Rent in Muscat Seeb,"Muscat, Seeb",400 OMR,443,For Rent
130 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",220 OMR,130,For Rent
70 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",190 OMR,70,For Rent
70 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",170 OMR,70,For Rent
7000 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,7000,For Rent
1 Bedroom Chalet for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",20 OMR,100,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",260 OMR,100,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",35 OMR,,For Rent
275 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,275,For Rent
Furnished Daily in Muscat Bosher,"Muscat, Bosher",12 OMR,,For Rent
205 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,205,For Rent
Furnished Daily in Muscat Seeb,"Muscat, Seeb",10 OMR,,For Rent
210 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",165 OMR,210,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",120 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",40 OMR,120,For Rent
500 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,500,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
Mixed Use Land for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,,For Rent
60 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,60,For Rent
235 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,235,For Rent
New unfurnished apartment one bedroom with swimming pool and gym,"Muscat, Bosher",220 OMR,70,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",40 OMR,1800,For Rent
84 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",180 OMR,84,For Rent
47 m2 Studio Apartments for Rent in Muscat Halban,"Muscat, Halban",80 OMR,47,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",140 OMR,100,For Rent
320 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,320,For Rent
Two BHK apartment for rent,"Muscat, Ghubrah",270 OMR,110,For Rent
مخزن للايجار في الحيل الجنوبية Basement for rent,"Muscat, Al-Hail",800 OMR,450,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100,For Rent
450 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,450,For Rent
4 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,4,For Rent
105 m2 2 Bedrooms Apartments for Rent in Al Wustaa Al Duqum,"Al Wustaa, Al Duqum",190 OMR,105,For Rent
Flat for rent,"Al Wustaa, Al Duqum",190 OMR,110,For Rent
Furnished Monthly in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",110 OMR,,For Rent
Room for rent,"Muscat, Azaiba",120 OMR,30,For Rent
80 m2 3 Bedrooms Apartments for Rent in Al Batinah Liwa,"Al Batinah, Liwa",100 OMR,80,For Rent
150 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",30 OMR,150,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Muscat Qurm,"Muscat, Qurm",450 OMR,300,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",200 OMR,120,For Rent
5 Bedroom Luxury villa for rent in Dhariz,"Dhofar, Salala",125 OMR,200,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",25 OMR,22,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",35 OMR,150,For Rent
180 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12 OMR,180,For Rent
Furnished Monthly in Muscat Azaiba,"Muscat, Azaiba",80 OMR,,For Rent
Residential Land for Rent in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid","25,000 OMR",,For Rent
Fully furnished bedroom apartment available in wadi alwami seeb,"Muscat, Seeb",230 OMR,60,For Rent
350 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,350,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",90 OMR,270,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",250 OMR,130,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,200,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",230 OMR,100,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",7 OMR,,For Rent
8646 m2 3 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",50 OMR,8646,For Rent
20 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala","10,000,000,000 OMR",20,For Rent
205 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Other,"Al Sharqiya, Other",30 OMR,205,For Rent
Unfurnished  in Al Batinah Sohar,"Al Batinah, Sohar",65 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",320 OMR,100,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",24 OMR,100,For Rent
100 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,100,For Rent
400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,400,For Rent
1000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,1000,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,200,For Rent
490 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,490,For Rent
2020 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,2020,For Rent
400 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,400,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",40 OMR,350,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
5 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",6 OMR,5,For Rent
Beautiful 2 BHK Apartments For Rent in Qurum ( Park View Building) Opposite FunZone Qurum,"Muscat, Qurm",425 OMR,100,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",15 OMR,100,For Rent
40 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",170 OMR,40,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",110 OMR,,For Rent
90 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",110 OMR,90,For Rent
600 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,600,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,300,For Rent
400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,400,For Rent
Beautiful 3 BHK Apartment for Rent in Bosher,"Muscat, Bosher",400 OMR,120,For Rent
"Fully Furnished 1BHK Flat for Rent – Bareeq Al Shatti, Qurum @ 450/ RO","Muscat, Qurm",440 OMR,90,For Rent
82 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",220 OMR,82,For Rent
#REF934    Beautiful & Spacious and well maintained 2BHK Apartment for rent in Ruwi,"Muscat, Ruwi",160 OMR,90,For Rent
50 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,50,For Rent
50 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,50,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Ghala,"Muscat, Ghala",250 OMR,70,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",55 OMR,200,For Rent
150 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,150,For Rent
Unfurnished Monthly in Muscat Bosher,"Muscat, Bosher",120 OMR,,For Rent
Unfurnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",120 OMR,,For Rent
700 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,700,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",130 OMR,400,For Rent
270 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,270,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,,For Rent
Furnished Monthly in Al Dhahirah Ibri,"Al Dhahirah, Ibri",40 OMR,,For Rent
500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,500,For Rent
200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",16 OMR,200,For Rent
252 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,252,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,300,For Rent
4 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",80 OMR,700,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,100,For Rent
200 m2 1 Bedroom Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,200,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",10 OMR,,For Rent
688 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,688,For Rent
2888 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,2888,For Rent
350 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",13 OMR,350,For Rent
محلات تجارية وشقق للايجار,"Al Batinah, Al Masnaah",120 OMR,400,For Rent
Farm house available for rent in Sahalnoot,"Dhofar, Sadah",80 OMR,250,For Rent
90 m2 3 Bedrooms Apartments for Rent in Al Dhahirah Ibri,"Al Dhahirah, Ibri",10 OMR,90,For Rent
5+ bedroom villa for rent,"Muscat, Qurm","1,000 OMR",500,For Rent
200 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",280 OMR,200,For Rent
270 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,270,For Rent
مطلوب مقهى و مشاوي للايجار,"Muscat, Seeb",1 OMR,70,For Rent
220 m2 2 Bedrooms Villa for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",135 OMR,220,For Rent
90 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",190 OMR,90,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,200,For Rent
"All-inclusive access to office in Muscat, Roola District","Muscat, Ghala",89 OMR,8,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,100,For Rent
"Find office space in MUSCAT, Hormuz Grand  for 5 persons with everything taken care of","Muscat, Muttrah",640 OMR,30,For Rent
"Private office space for 1 person in Muscat, Qurum City Centre","Muscat, Qurm",215 OMR,8,For Rent
"Private office space for 2 persons in Muscat, Qurum City Centre","Muscat, Qurm",272 OMR,10,For Rent
"Private office space for 3 persons in Muscat, Qurum City Centre","Muscat, Qurm",376 OMR,15,For Rent
"Open plan office space for 10 persons in Muscat, Qurum City Centre","Muscat, Qurm",863 OMR,45,For Rent
"Flexible office memberships in Muscat, Qurum City Centre","Muscat, Qurm",89 OMR,8,For Rent
3 Bedrooms Chalet for Rent in Dhofar Mirbat,"Dhofar, Mirbat",70 OMR,30,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",25 OMR,100000000,For Rent
محل جاهز للإيجار,"Al Batinah, Sohar",250 OMR,110,For Rent
كاونتر تجاري مميز للايجار في صحار داونتاون مول,"Al Batinah, Sohar",250 OMR,9,For Rent
مطعم تجاري مميّز للإيجار في صحار داونتاون مول,"Al Batinah, Sohar",250 OMR,41,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",150 OMR,100,For Rent
55 m2 1 Bedroom Apartments for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",60 OMR,55,For Rent
Sharing And Single room Available for Indian Bachelor - غرفة فقط للملاباري,"Muscat, Al Khoud",30 OMR,,For Rent
"All-inclusive access to coworking space in Muscat, Qurum City Centre","Muscat, Qurm",139 OMR,10,For Rent
1 Bedroom Fully Furnished Apartment in Muscat Hills for yearly Contract,"Muscat, Muscat Hills",350 OMR,80,For Rent
FLAT FOR RENT (Super deal),"Muscat, Ghubrah",230 OMR,180,For Rent
"Private office space tailored to your business’ unique needs in Sohar, Sohar City Centre","Al Batinah, Sohar",556 OMR,30,For Rent
78 m2 Studio Apartments for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",75 OMR,78,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",60 OMR,220,For Rent
85 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",195 OMR,85,For Rent
120 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,120,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
