Property Title,Location,Bedrooms,Price,Size,Listing Type
للايجار مكتب بزنس سنتر Business center,"Muscat, Ghala",,170 OMR,15.0,For Rent
160 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",4.0,50 OMR,160.0,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
محل تجاري للإيجار في شارع 18 نوفمبر بموقع ممتااز/ shop for Rent,"Muscat, Ghubrah",,950 OMR,45.0,For Rent
غرف مفروشہ لاجار ال,"Muscat, Al Maabilah",,7 OMR,7.0,For Rent
للايجار مكتب مؤثث في غلا ل 12 موظف مبنى جديد بمواصفات مميزه مع موقف سياره خاص,"Muscat, Ghala",,400 OMR,80.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,35 OMR,1.0,For Rent
230 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,100 OMR,230.0,For Rent
Special offer for the fully furnished office space,"Muscat, Al Khuwair",,170 OMR,8.0,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,100 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,100 OMR,,For Rent
95 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",3.0,150 OMR,95.0,For Rent
250 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",2.0,20 OMR,250.0,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,85 OMR,,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",3.0,50 OMR,130.0,For Rent
Room for rent daily,"Dhofar, Salala",,20 OMR,20.0,For Rent
Furnished Daily in Muscat Ghubrah,"Muscat, Ghubrah",,1 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,125 OMR,120.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,200.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,18 OMR,,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Muscat Amerat,"Muscat, Amerat",3.0,280 OMR,250.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,100.0,For Rent
2bhk flat boshar near moll Oman غرفتين وصاله بوشر قريب مسجد محمد الامين,"Muscat, Bosher",2.0,350 OMR,130.0,For Rent
220 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",3.0,20 OMR,220.0,For Rent
Nice 1 bhk in elqurm,"Muscat, Qurm",1.0,350 OMR,100.0,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",4.0,50 OMR,1.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,200.0,For Rent
200 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",1.0,160 OMR,200.0,For Rent
Cozy Private Room in Central Salalah,"Dhofar, Salala",1.0,25 OMR,100.0,For Rent
600 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,8 OMR,600.0,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",,60 OMR,,For Rent
"All Types of Portacabins for Sale – Ready to Deliver! Looking for durable, ready-to-use portable.","Buraimi, Al Buraimi",2.0,"1,500 OMR",9.0,For Rent
عقود ايجارات موقت,"Al Batinah, Barka",,50 OMR,10.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,40 OMR,300.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",,10 OMR,,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Saham,"Al Batinah, Saham",3.0,40 OMR,300.0,For Rent
60 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,190 OMR,60.0,For Rent
380 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",4.0,70 OMR,380.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,1 OMR,200.0,For Rent
150 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",2.0,230 OMR,150.0,For Rent
2 Bedroom Apartments for Daily Rent at Al Muna Furnished Apartments.,"Dhofar, Sadah",2.0,50 OMR,80.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",,10 OMR,,For Rent
Bed space available,"Muscat, Azaiba",,55 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",2.0,25 OMR,1780.0,For Rent
75 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,20 OMR,75.0,For Rent
furnished flat neer beach Airport,"Muscat, Al-Hail",1.0,290 OMR,40.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,25 OMR,180.0,For Rent
SUR OMAN :- FULLY FURNISHED STUDIO ROOM (ONE BED ROOM ONE BATH ROOM 13 OMR,"Al Sharqiya, Sur",1.0,13 OMR,,For Rent
95 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,340 OMR,95.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,55 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,20 OMR,,For Rent
220 m2 3 Bedrooms Townhouse for Rent in Al Dakhiliya Hamra,"Al Dakhiliya, Hamra",3.0,35 OMR,220.0,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,250.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",3.0,1 OMR,250.0,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,5 OMR,300.0,For Rent
Furnished Monthly in Muscat Qurm,"Muscat, Qurm",,80 OMR,,For Rent
Semi Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,65 OMR,,For Rent
85 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",2.0,165 OMR,85.0,For Rent
300 m2 2 Bedrooms Villa for Rent in Al Sharqiya Other,"Al Sharqiya, Other",2.0,1 OMR,300.0,For Rent
200 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,110 OMR,200.0,For Rent
Unfurnished Monthly in Muscat Seeb,"Muscat, Seeb",,110 OMR,,For Rent
404 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",4.0,70 OMR,404.0,For Rent
82 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,35 OMR,82.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",2.0,310 OMR,100.0,For Rent
175 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",3.0,18 OMR,175.0,For Rent
300 m2 4 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",4.0,350 OMR,300.0,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",2.0,35 OMR,160.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,200.0,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Muscat Seeb,"Muscat, Seeb",3.0,320 OMR,250.0,For Rent
50 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,140 OMR,50.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",3.0,175 OMR,100.0,For Rent
21 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,21.0,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,150.0,For Rent
2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,"25,000 OMR",,For Rent
1 ft² 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,,For Rent
200 m2 Studio Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",,20 OMR,200.0,For Rent
Room for rent C5,"Muscat, Azaiba",,250 OMR,,For Rent
Room for rent B8,"Muscat, Ghubrah",,165 OMR,,For Rent
25 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,160 OMR,25.0,For Rent
10 ft² 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,35 OMR,,For Rent
قاعة للإيجار اليومي – مثالية للإعلانات والفعاليات!  Spacious Hall for Daily Rent,"Muscat, Halban",,150 OMR,600.0,For Rent
120 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",3.0,15 OMR,120.0,For Rent
30 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,155 OMR,30.0,For Rent
40 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,160 OMR,40.0,For Rent
288 m2 2 Bedrooms Townhouse for Rent in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",2.0,90 OMR,288.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",2.0,190 OMR,80.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",3.0,200 OMR,100.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,,80.0,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,120 OMR,,For Rent
600 m2 More than 6 bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",,350 OMR,600.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",2.0,100 OMR,200.0,For Rent
Semi Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",,140 OMR,,For Rent
25 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,150 OMR,25.0,For Rent
400 m2 More than 6 bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud",,450 OMR,400.0,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,1 OMR,,For Rent
محل للإيجار ببناية اكتوبر في الخوض شارع البركات بجانب بنك ميثاق الإسلامي,"Muscat, Al Khoud",,400 OMR,46.0,For Rent
2bhk alaziba غرفتين وصاله بالعذيبه قريب دوار الخليل ومركز نور للتسوق ومخبز ادم,"Muscat, Azaiba",2.0,370 OMR,130.0,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",3.0,360 OMR,130.0,For Rent
2bhk in elkwer غرفتين وصاله بالخوير مقابل مطعم الشيف السعودي وفندق امواج,"Muscat, Al Khuwair",2.0,330 OMR,100.0,For Rent
2bedroom with a living room and a hall clos شقه غرفتين ومجلس وصاله قريبه من الشارع العام تقريبا 400,"Muscat, Al-Hail",2.0,230 OMR,90.0,For Rent
اخلاء موقع محل,"Al Dakhiliya, Nizwa",,"5,000 OMR",33.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",2.0,100 OMR,100.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",2.0,15 OMR,100.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",,15 OMR,,For Rent
محلات جديدة للاجار  فرصة ما تتعوض للاستثمار,"Muscat, Misfah",,200 OMR,100.0,For Rent
400 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,160 OMR,400.0,For Rent
11 m2 3 Bedrooms Apartments for Rent in Al Batinah Saham,"Al Batinah, Saham",3.0,110 OMR,11.0,For Rent
Flat for rent in alkhuwair  شقة للايجار في الخوير مقابل مطعم البيت التركي,"Muscat, Al Khuwair",2.0,350 OMR,111.0,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,600.0,For Rent
Apartment for rent furnished in bawshar,"Muscat, Bosher",1.0,250 OMR,57.0,For Rent
500 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,200 OMR,500.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Al Dakhiliya Izki,"Al Dakhiliya, Izki",2.0,110 OMR,100.0,For Rent
170 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,170.0,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,110 OMR,,For Rent
300 m2 5 Bedrooms Villa for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",5.0,1 OMR,300.0,For Rent
Furnished Monthly in Al Batinah Sohar,"Al Batinah, Sohar",,50 OMR,,For Rent
محل موبايل وكمبيوتر للبيع في سوق السيب للموبايلات,"Muscat, Seeb",,150 OMR,35.0,For Rent
200 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",,8 OMR,200.0,For Rent
Furnished Daily in Al Batinah Sohar,"Al Batinah, Sohar",,6 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,120.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",2.0,250 OMR,110.0,For Rent
20 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",2.0,100 OMR,20.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,125 OMR,200.0,For Rent
للايجار محل تجاري موقع مميز For rent attractiv  shope,"Al Batinah, Sohar",,,1500.0,For Rent
116 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",3.0,350 OMR,116.0,For Rent
Flat two bedrooms and two bathrooms,"Muscat, Al Khuwair",3.0,210 OMR,110.0,For Rent
A clean flat for  rent,"Muscat, Al-Hail",3.0,220 OMR,100.0,For Rent
Mixed Use Land for Rent in Al Batinah Barka,"Al Batinah, Barka",,20 OMR,,For Rent
110 m2 2 Bedrooms Apartments for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,120 OMR,110.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,100 OMR,,For Rent
Semi Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,90 OMR,,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,1.0,For Rent
90 ft² 2 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",2.0,1 OMR,,For Rent
Bed Space  for rent,"Al Batinah, Barka",,30 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,80 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",2.0,190 OMR,100.0,For Rent
Furnished Daily in Al Dakhiliya Izki,"Al Dakhiliya, Izki",,6 OMR,,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",,160 OMR,,For Rent
Furnished flat for rent,"Muscat, Al Khuwair",1.0,250 OMR,85.0,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,280 OMR,65.0,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",,150 OMR,,For Rent
18th november room + bathroom + kitchen fully furnished utility included,"Muscat, Azaiba",1.0,230 OMR,50.0,For Rent
55 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",,160 OMR,55.0,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",4.0,55 OMR,300.0,For Rent
Room for rent in Mawalhe South. 130RO monthly,"Muscat, Al Mawaleh",1.0,150 OMR,30.0,For Rent
محل للايجار بصحار مقابل جامع فلج العوهي,"Al Batinah, Sohar",,50 OMR,35.0,For Rent
250 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",3.0,70 OMR,250.0,For Rent
250 m2 More than 6 bedrooms Townhouse for Rent in Al Sharqiya Al Kamil and Al Waafi,"Al Sharqiya, Al Kamil and Al Waafi",,200 OMR,250.0,For Rent
Flat for rent family only - Furniture for sale Looking mayali family,"Muscat, Al Maabilah",2.0,150 OMR,1000.0,For Rent
مكتب للإيجار في بوشر قريب مول عمان و مقابل شارع مسقط السريع مع شهرين مجاناً Office for rent 2 M Free,"Muscat, Bosher",,450 OMR,105.0,For Rent
153 m2 4 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",4.0,530 OMR,153.0,For Rent
5 m2 2 Bedrooms Apartments for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",2.0,15 OMR,5.0,For Rent
Apartment & Room for rent,"Muscat, Amerat",,90 OMR,,For Rent
"Spacious Shop for Rent, Behind City Centre Al Seeb, Excellent Locationموالح جنوبية  مجمع مزايا","Muscat, Al Mawaleh",,400 OMR,70.0,For Rent
400 m2 4 Bedrooms Villa for Rent in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",4.0,"1,050 OMR",400.0,For Rent
50 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,70 OMR,50.0,For Rent
125 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",3.0,300 OMR,125.0,For Rent
محل للايجار في بوشر مسفاة الخامسه,"Muscat, Misfah",,75 OMR,396.0,For Rent
Ibri yanqal 20/30,"Al Dhahirah, Yunqul",,20 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,280 OMR,100.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,18 OMR,,For Rent
Branded Office available for rent starting from RO 845 in Madinat Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",,825 OMR,235.0,For Rent
Offices for rent at RO 725 in Madinat Sultan Qaboos - Direct from Landlord,"Muscat, Madinat As Sultan Qaboos",,725 OMR,180.0,For Rent
Branded office available for Rent in Madinat Sultan Qaboos/ Al - Khuwair - Direct from Landlord,"Muscat, Madinat As Sultan Qaboos",,"1,150 OMR",250.0,For Rent
1 m2 3 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",3.0,45 OMR,1.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,17 OMR,100.0,For Rent
60 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,140 OMR,60.0,For Rent
11 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,35 OMR,11.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,20 OMR,,For Rent
40 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,30 OMR,40.0,For Rent
540 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",,650 OMR,540.0,For Rent
550 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,,550.0,For Rent
445 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",,700 OMR,445.0,For Rent
150 m2 3 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",3.0,350 OMR,150.0,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,120 OMR,100.0,For Rent
150 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",3.0,155 OMR,150.0,For Rent
Al Wuttayya Muscat-2BHK flat behind Wuttayya Mosque-3Bathroom-OMR 255 only!!,"Muscat, Al-Wuttayah",2.0,255 OMR,110.0,For Rent
200 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,250 OMR,200.0,For Rent
A luxuriously finished apartment in Alkuwair with a distinctive view of the reserve,"Muscat, Al Khuwair",2.0,450 OMR,125.0,For Rent
240 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,240.0,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",3.0,80 OMR,170.0,For Rent
معرض للإيجار صحار سوق الهمبار,"Al Batinah, Sohar",,600 OMR,1300.0,For Rent
1400 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",2.0,120 OMR,1400.0,For Rent
110 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",3.0,230 OMR,110.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",,5 OMR,,For Rent
200 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",3.0,340 OMR,200.0,For Rent
555 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,30 OMR,555.0,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",2.0,15 OMR,600.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Sohar,"Al Batinah, Sohar",2.0,18 OMR,600.0,For Rent
Semi Furnished Daily in Dhofar Sadah,"Dhofar, Sadah",,25 OMR,,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",3.0,75 OMR,250.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,75 OMR,,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",,130 OMR,,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",3.0,60 OMR,360.0,For Rent
Furnished Monthly in Muscat Azaiba,"Muscat, Azaiba",,150 OMR,,For Rent
800 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,"Muscat, Qurm",2.0,40 OMR,800.0,For Rent
80 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",,10 OMR,80.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,10 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,200.0,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,90 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra",2.0,80 OMR,80.0,For Rent
Furnished Daily in Al Sharqiya Sur,"Al Sharqiya, Sur",,10 OMR,,For Rent
4 m2 3 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",3.0,9 OMR,4.0,For Rent
Unfurnished Monthly in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",,60 OMR,,For Rent
محلات ومعرض للإيجار كل محل مساحته 38 متر الي يجيبلي مستاجر له عموله,"Muscat, Seeb",,370 OMR,800.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,32 OMR,,For Rent
Unfurnished Monthly in Muscat Amerat,"Muscat, Amerat",,100 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,100 OMR,,For Rent
1000 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",1.0,25 OMR,1000.0,For Rent
60 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",2.0,155 OMR,60.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,45 OMR,,For Rent
2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",2.0,"160,000 OMR",,For Rent
Shared single private room with bathroom,"Al Batinah, Barka",,80 OMR,,For Rent
Semi Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
سرداب للإيجار ( شارع النزهه),"Muscat, Al Maabilah",,550 OMR,400.0,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Other,"Al Sharqiya, Other",2.0,80 OMR,150.0,For Rent
Semi Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",,90 OMR,,For Rent
333 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",2.0,110 OMR,333.0,For Rent
"""Apartments for Rent in Ghubra – Prime Location Opposite Indian School  Booking now!""","Muscat, Ghubrah",2.0,280 OMR,90.0,For Rent
مكتب تجاري  للايجار في العذيبه,"Muscat, Azaiba",,230 OMR,50.0,For Rent
125 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,180 OMR,125.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Al Batinah Saham,"Al Batinah, Saham",2.0,120 OMR,100.0,For Rent
75 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",1.0,130 OMR,75.0,For Rent
400 m2 2 Bedrooms Villa for Rent in Al Batinah Sohar,"Al Batinah, Sohar",2.0,800 OMR,400.0,For Rent
150 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",2.0,20 OMR,150.0,For Rent
1 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,13 OMR,1.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,50 OMR,450.0,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,40 OMR,180.0,For Rent
LUXURIOUS VILLA In Khuwair for rent,"Muscat, Al Khuwair",,950 OMR,425.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,200.0,For Rent
Two Bedroom Apartment Muscat Hills The Pearl,"Muscat, Muscat Hills",2.0,500 OMR,110.0,For Rent
60 m2 1 Bedroom Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",1.0,50 OMR,60.0,For Rent
350 m2 5 Bedrooms Townhouse for Rent in Muscat Muttrah,"Muscat, Muttrah",5.0,250 OMR,350.0,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,100 OMR,,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,20 OMR,250.0,For Rent
